scenario_id,scenario_name,material_id,material_label,kg_per_drone_weighted,required_kg_30d,existing_factory_inventory_kg,domestic_resource_supply_kg,import_supply_kg_30d,total_available_kg_30d,shortage_kg_30d,coverage_ratio,material_feasible_drones_30d,import_dependency,feeds_part_categories,primary_import_route_ids,target_factory_count,verification_need
baseline,Baseline Production Plan,ndfeb_magnet_feedstock,NdFeB magnet feedstock,0.309,3090,952,2340,3877,7169,0,1.0,23200,high,propulsion,sea_baseline_src_jp_maizuru_magnets_port_donghae,4,"magnet grade, recovery yield, alloy compatibility, and certified supplier availability"
baseline,Baseline Production Plan,lithium_battery_feedstock,Battery cell and lithium feedstock,1.845,18450,5782,3380,11206,20368,0,1.0,11039,high,power,sea_baseline_src_jp_niigata_battery_port_donghae,4,"cell format, BMS compatibility, safety certification, and thermal screening"
baseline,Baseline Production Plan,copper_electronics_feedstock,"Copper, PCB, and connector feedstock",0.372,3720,1777,4680,6904,13361,0,1.0,35916,medium,flight_stack | harness,sea_baseline_src_jp_kitakyushu_electronics_port_busan,4,"copper purity, laminate availability, connector plating, and PCB fabrication grade"
baseline,Baseline Production Plan,lightweight_airframe_feedstock,"Composite, carbon, and light-metal feedstock",1.5175,15175,6152,4160,13214,23526,0,1.0,15503,medium,airframe,sea_baseline_src_jp_nagoya_composite_port_ulsan,4,"material grade, molding compatibility, dimensional stability, and rework rate"
baseline,Baseline Production Plan,optical_sensor_components,"Optical sensor, lens, and imaging components",0.102,1020,203,0,1267,1470,0,1.0,14411,high,sensor_payload,sea_baseline_src_jp_yokohama_optics_port_pohang,4,"lens/sensor module availability, calibration bench, and firmware interface"
baseline,Baseline Production Plan,industrial_polymers_packaging,"Industrial polymers, cases, and packaging material",0.4855,4855,2758,0,8126,10884,0,1.0,22418,low,qa_packaging | drone_assembly,sea_baseline_src_jp_kobe_polymers_port_busan,4,"case/packaging stock, transport shock rating, and assembly handling requirements"
western_axis_threat,Western Axis Factory Strike Forecast,ndfeb_magnet_feedstock,NdFeB magnet feedstock,0.309,3090,481,2340,3783,6604,0,1.0,21372,high,propulsion,sea_western_axis_threat_src_jp_maizuru_magnets_port_donghae,4,"magnet grade, recovery yield, alloy compatibility, and certified supplier availability"
western_axis_threat,Western Axis Factory Strike Forecast,lithium_battery_feedstock,Battery cell and lithium feedstock,1.845,18450,3636,3380,11419,18435,15,0.999,9991,high,power,sea_western_axis_threat_src_jp_niigata_battery_port_donghae,4,"cell format, BMS compatibility, safety certification, and thermal screening"
western_axis_threat,Western Axis Factory Strike Forecast,copper_electronics_feedstock,"Copper, PCB, and connector feedstock",0.372,3720,1043,4680,7100,12823,0,1.0,34470,medium,flight_stack | harness,sea_western_axis_threat_src_jp_kitakyushu_electronics_port_busan,4,"copper purity, laminate availability, connector plating, and PCB fabrication grade"
western_axis_threat,Western Axis Factory Strike Forecast,lightweight_airframe_feedstock,"Composite, carbon, and light-metal feedstock",1.5175,15175,5614,4160,13248,23022,0,1.0,15171,medium,airframe,sea_western_axis_threat_src_jp_nagoya_composite_port_ulsan,4,"material grade, molding compatibility, dimensional stability, and rework rate"
western_axis_threat,Western Axis Factory Strike Forecast,optical_sensor_components,"Optical sensor, lens, and imaging components",0.102,1020,291,0,1218,1509,0,1.0,14794,high,sensor_payload,sea_western_axis_threat_src_jp_yokohama_optics_port_pohang,4,"lens/sensor module availability, calibration bench, and firmware interface"
western_axis_threat,Western Axis Factory Strike Forecast,industrial_polymers_packaging,"Industrial polymers, cases, and packaging material",0.4855,4855,2782,0,8035,10817,0,1.0,22280,low,qa_packaging | drone_assembly,sea_western_axis_threat_src_jp_kobe_polymers_port_busan,4,"case/packaging stock, transport shock rating, and assembly handling requirements"
southern_port_disruption,Southern Port Logistics Disruption,ndfeb_magnet_feedstock,NdFeB magnet feedstock,0.309,3090,560,2340,3920,6820,0,1.0,22071,high,propulsion,sea_southern_port_disruption_src_jp_maizuru_magnets_port_donghae,4,"magnet grade, recovery yield, alloy compatibility, and certified supplier availability"
southern_port_disruption,Southern Port Logistics Disruption,lithium_battery_feedstock,Battery cell and lithium feedstock,1.845,18450,7343,3380,11304,22027,0,1.0,11938,high,power,sea_southern_port_disruption_src_jp_niigata_battery_port_donghae,4,"cell format, BMS compatibility, safety certification, and thermal screening"
southern_port_disruption,Southern Port Logistics Disruption,copper_electronics_feedstock,"Copper, PCB, and connector feedstock",0.372,3720,1710,4680,5835,12225,0,1.0,32862,medium,flight_stack | harness,sea_southern_port_disruption_src_jp_kitakyushu_electronics_port_busan,4,"copper purity, laminate availability, connector plating, and PCB fabrication grade"
southern_port_disruption,Southern Port Logistics Disruption,lightweight_airframe_feedstock,"Composite, carbon, and light-metal feedstock",1.5175,15175,5181,4160,11662,21003,0,1.0,13840,medium,airframe,sea_southern_port_disruption_src_jp_nagoya_composite_port_ulsan,4,"material grade, molding compatibility, dimensional stability, and rework rate"
southern_port_disruption,Southern Port Logistics Disruption,optical_sensor_components,"Optical sensor, lens, and imaging components",0.102,1020,166,0,1256,1422,0,1.0,13941,high,sensor_payload,sea_southern_port_disruption_src_jp_yokohama_optics_port_pohang,4,"lens/sensor module availability, calibration bench, and firmware interface"
southern_port_disruption,Southern Port Logistics Disruption,industrial_polymers_packaging,"Industrial polymers, cases, and packaging material",0.4855,4855,3392,0,6773,10165,0,1.0,20937,low,qa_packaging | drone_assembly,sea_southern_port_disruption_src_jp_kobe_polymers_port_busan,4,"case/packaging stock, transport shock rating, and assembly handling requirements"
